id,bulan,jumlah_kunjungan,satuan,tahun
1,JANUARI,2080,PENGUNJUNG,2016
2,FEBRUARI,2283,PENGUNJUNG,2016
3,MARET,1872,PENGUNJUNG,2016
4,APRIL,1946,PENGUNJUNG,2016
5,MEI,2451,PENGUNJUNG,2016
6,JUNI,1698,PENGUNJUNG,2016
7,JULI,1344,PENGUNJUNG,2016
8,AGUSTUS,1867,PENGUNJUNG,2016
9,SEPTEMBER,2066,PENGUNJUNG,2016
10,OKTOBER,3007,PENGUNJUNG,2016
11,NOPEMBER,3840,PENGUNJUNG,2016
12,DESEMBER,2622,PENGUNJUNG,2016
13,JANUARI,3214,PENGUNJUNG,2017
14,FEBRUARI,2727,PENGUNJUNG,2017
15,MARET,3180,PENGUNJUNG,2017
16,APRIL,2533,PENGUNJUNG,2017
17,MEI,2544,PENGUNJUNG,2017
18,JUNI,2389,PENGUNJUNG,2017
19,JULI,3227,PENGUNJUNG,2017
20,AGUSTUS,3879,PENGUNJUNG,2017
21,SEPTEMBER,4004,PENGUNJUNG,2017
22,OKTOBER,4714,PENGUNJUNG,2017
23,NOPEMBER,6011,PENGUNJUNG,2017
24,DESEMBER,3620,PENGUNJUNG,2017
25,JANUARI,4933,PENGUNJUNG,2018
26,FEBRUARI,4533,PENGUNJUNG,2018
27,MARET,5255,PENGUNJUNG,2018
28,APRIL,4853,PENGUNJUNG,2018
29,MEI,5399,PENGUNJUNG,2018
30,JUNI,3487,PENGUNJUNG,2018
31,JULI,6654,PENGUNJUNG,2018
32,AGUSTUS,5742,PENGUNJUNG,2018
33,SEPTEMBER,6540,PENGUNJUNG,2018
34,OKTOBER,7222,PENGUNJUNG,2018
35,NOPEMBER,6998,PENGUNJUNG,2018
36,DESEMBER,4853,PENGUNJUNG,2018
37,JANUARI,5088,PENGUNJUNG,2019
38,FEBRUARI,4426,PENGUNJUNG,2019
39,MARET,5247,PENGUNJUNG,2019
40,APRIL,4944,PENGUNJUNG,2019
41,MEI,4987,PENGUNJUNG,2019
42,JUNI,3260,PENGUNJUNG,2019
43,JULI,5421,PENGUNJUNG,2019
44,AGUSTUS,6131,PENGUNJUNG,2019
45,SEPTEMBER,2830,PENGUNJUNG,2019
46,OKTOBER,2910,PENGUNJUNG,2019
47,NOPEMBER,2975,PENGUNJUNG,2019
48,DESEMBER,2234,PENGUNJUNG,2019
49,JANUARI,2744,PENGUNJUNG,2020
50,FEBRUARI,6062,PENGUNJUNG,2020
51,MARET,6989,PENGUNJUNG,2020
52,APRIL,7177,PENGUNJUNG,2020
53,MEI,12408,PENGUNJUNG,2020
54,JUNI,12174,PENGUNJUNG,2020
55,JULI,21001,PENGUNJUNG,2020
56,AGUSTUS,16749,PENGUNJUNG,2020
57,SEPTEMBER,11317,PENGUNJUNG,2020
58,OKTOBER,8685,PENGUNJUNG,2020
59,NOPEMBER,9396,PENGUNJUNG,2020
60,DESEMBER,10564,PENGUNJUNG,2020
