id,bulan,jumlah_kunjungan
1,2016-01,2080
2,2016-02,2283
3,2016-03,1872
4,2016-04,1946
5,2016-05,2451
6,2016-06,1698
7,2016-07,1344
8,2016-08,1867
9,2016-09,2066
10,2016-10,3007
11,2016-11,3840
12,2016-12,2622
13,2017-01,3214
14,2017-02,2727
15,2017-03,3180
16,2017-04,2533
17,2017-05,2544
18,2017-06,2389
19,2017-07,3227
20,2017-08,3879
21,2017-09,4004
22,2017-10,4714
23,2017-11,6011
24,2017-12,3620
25,2018-01,4933
26,2018-02,4533
27,2018-03,5255
28,2018-04,4853
29,2018-05,5399
30,2018-06,3487
31,2018-07,6654
32,2018-08,5742
33,2018-09,6540
34,2018-10,7222
35,2018-11,6998
36,2018-12,4853
37,2019-01,5088
38,2019-02,4426
39,2019-03,5247
40,2019-04,4944
41,2019-05,4987
42,2019-06,3260
43,2019-07,5421
44,2019-08,6131
45,2019-09,2830
46,2019-10,2910
47,2019-11,2975
48,2019-12,2234
49,2020-01,2744
50,2020-02,6062
51,2020-03,6989
52,2020-04,7177
53,2020-05,12408
54,2020-06,12174
55,2020-07,21001
56,2020-08,16749
57,2020-09,11317
58,2020-10,8685
59,2020-11,9396
60,2020-12,10564
